language,precision,recall,accuracy,f1-score,specificity,samples
ja,99.99,99.96,100,99.98,100,246319
jbo,85.14,95.81,99.97,90.16,99.97,17152
jv,32.11,58.04,99.98,41.34,99.98,1430
ka,100,93.31,100,96.54,100,7074
kk,97.33,79.91,99.99,87.76,100,4385
km,0.88,99.47,97.48,1.75,97.48,2461
kn,90.88,96.45,100,93.58,100,310
ko,3.26,97.95,96.13,6.3,96.13,14509
ku,92.67,86.99,99.98,89.74,99.99,10281
kv,3.92,88,99.99,7.51,99.99,75
kw,72.68,96.05,99.99,82.75,99.99,3950
ky,49.87,71.08,100,58.62,100,536
la,86.9,76.26,99.83,81.24,99.94,52513
lb,10.15,91.59,99.92,18.27,99.92,1023
lez,3.47,41.67,100,6.41,100,12
li,0.54,59.57,99.95,1.07,99.95,47
lmo,0.21,41.38,99.95,0.41,99.95,29
lo,99.13,100,100,99.57,100,229
lt,98.73,94.02,99.91,96.32,99.99,131515
lv,87.02,95.04,99.98,90.85,99.98,12480
mai,3.01,62.5,100,5.75,100,8
mg,3.98,95.89,99.98,7.64,99.98,73
mhr,47.56,89.73,99.96,62.17,99.96,4362
mk,97.3,66.58,99.75,79.06,99.99,78244
ml,100,98.06,100,99.02,100,878
mn,94.52,92.05,100,93.27,100,2792
mr,99.93,95.82,99.97,97.83,100,77592
mrj,0.86,61.8,99.94,1.69,99.94,89
ms,50.26,58.42,99.93,54.04,99.96,7550
mt,14.92,87.12,99.97,25.48,99.97,691
mwl,0.73,77.36,99.8,1.45,99.8,212
my,100,64.21,100,78.21,100,584
myv,1.65,77.78,99.97,3.23,99.97,72
nah,2.17,75.32,99.93,4.22,99.93,235
nap,0.03,63.08,98.83,0.06,98.83,65
nds,62.87,84.43,99.89,72.07,99.92,18226
ne,98.76,86.76,99.99,92.37,100,4500
nl,99.14,86.14,99.74,92.18,99.99,193399
nn,75.44,70.44,99.94,72.86,99.97,12360
oc,76.35,67.47,99.89,71.63,99.96,22598
or,91.35,70.72,100,79.72,100,403
os,94.92,88.85,99.99,91.79,100,7382
pa,100,97.26,100,98.61,100,219
pam,15.8,35.7,99.97,21.9,99.97,1482
pfl,0.01,100,99.63,0.01,99.63,3
pl,99.41,94.61,99.93,96.95,99.99,132808
pms,8.71,82.85,99.93,15.76,99.93,822
pnb,23.18,70.83,100,34.93,100,72
ps,10,93.62,100,18.07,100,47
pt,97.66,89.95,99.51,93.64,99.91,437510
qu,17.14,64.83,99.99,27.12,99.99,435
rm,0.51,76.92,99.96,1.02,99.96,26
ro,93.28,94.99,99.96,94.13,99.98,37205
ru,99.88,43.83,94.13,60.92,99.99,1140746
rue,0.41,40.17,99.9,0.82,99.9,117
sa,72.65,51.2,100,60.07,100,166
sah,71.17,78.13,100,74.48,100,992
sc,0.19,68.75,99.95,0.38,99.95,16
scn,0.17,82.86,99.85,0.35,99.85,35
sco,1.43,50,99.97,2.79,99.97,92
sd,0.55,83.33,99.99,1.09,99.99,6
si,100,100,100,100,100,75
sk,90.35,81.02,99.93,85.43,99.98,27240
sl,55.77,72.93,99.97,63.21,99.98,3388
so,29.08,96.27,100,44.67,100,161
sq,60.49,95.02,99.98,73.93,99.99,2633
sr,88.86,38.12,99.69,53.35,99.98,50762
su,2.44,77.5,99.99,4.74,99.99,40
sv,95.45,94.5,99.95,94.97,99.98,56297
sw,76.14,95.8,99.99,84.85,99.99,4529
ta,100,96.79,100,98.37,100,561
te,100,98.41,100,99.2,100,314
tg,15.95,81.16,100,26.67,100,69
th,100,99.97,100,99.99,100,6827
tk,67.31,88.05,99.96,76.3,99.97,7115
tl,97.01,85.01,99.88,90.61,99.98,76772
tr,99.86,91.74,99.43,95.63,99.99,739792
tyv,16.32,78.75,100,27.04,100,80
ug,96.07,95.94,99.99,96,100,7971
uk,98.92,67.29,99.43,80.1,99.99,187391
ur,94.18,95.76,100,94.96,100,2687
uz,30.49,74.2,99.98,43.23,99.98,1163
vec,1.24,74.83,99.84,2.43,99.84,298
vep,6.67,91.83,99.95,12.44,99.95,404
vi,98.84,99.81,100,99.32,100,27253
vo,70.97,89.7,99.97,79.25,99.98,6379
wa,0.57,90.57,99.92,1.14,99.92,53
war,54.71,70.58,99.98,61.64,99.99,2386
xal,74.3,91.38,100,81.96,100,870
yi,86.77,99,99.96,92.49,99.97,24553
yo,16.91,92.17,100,28.57,100,115
zh,99.89,99.97,100,99.93,100,98286
Micro,85.04,84.53,99.81,84.78,99.91,10933730
Macro,55.78,82.95,99.8,57.85,99.9,10933730
