language,precision,recall,accuracy,f1-score,specificity,samples
th,98.23,99.97,100,99.09,100,6827
tk,15.91,0.2,99.93,0.39,100,7115
tl,92.51,90.59,99.88,91.54,99.95,76772
tr,98.76,90.57,99.29,94.49,99.92,739792
tyv,3.76,8.75,100,5.26,100,80
ug,98.9,99.54,100,99.22,100,7971
uk,98.33,97.43,99.93,97.88,99.97,187391
ur,63.29,98.1,99.99,76.94,99.99,2687
uz,19.55,38.26,99.98,25.88,99.98,1163
vec,1.01,0.34,100,0.5,100,298
vep,0,0,100,0,100,404
vi,76.93,12.41,99.77,21.37,99.99,27253
vo,87.88,39.43,99.96,54.43,100,6379
wa,1.12,11.32,99.99,2.03,100,53
war,24.45,45.85,99.96,31.89,99.97,2386
xal,89.49,74.37,100,81.23,100,870
yi,99.48,95.72,99.99,97.57,100,24553
yo,0,0,100,0,100,115
zh,98.99,92.25,99.92,95.5,99.99,98286
Micro,93.77,93.77,99.93,93.77,99.96,10950986
Macro,54.48,55.63,99.92,51.82,99.96,10950986
