,id,"Apabila dilihat dari luar angkasa, kota ini akan membentuk burung elang. Menara Eiffel akan membentuk sebuah hotel dengan kaca di antara struktur bajanya. Bangunan ini juga lebih tinggi daripada Menara Eiffel yang asli dan akan dinamai ''''Dubai Eiffel Tower''''."
,de,"Vom heutigen Bahnhof Leun/Braunfels zweigte früher die Ernstbahn nach Philippstein ab, in Stockhausen begann die Ulmtalbahn nach Beilstein, im Volksmund auch „Balkan-Express“ genannt. Beide Nebenstrecken sind heute stillgelegt."
,kw,"López-Morales, H.: “Elementos leoneses en la lengua del teatro pastoril de los siglos XV y XVI”. Actas del II Congreso Internacional de Hispanistas. Instituto Español de la Universidad de Nimega. Holanda. 1967."
,bg,"Walter Benjamin: Briefe an Siegfried Kracauer. Mit 4 Briefen von Siegfried Kracauer an Walter Benjamin. Marbach am Neckar: Dt. Schillergesellschaft, 1987."
,ru,"Ильин, Б. Время идет, а подвиги остаются / Б. Ильин // Льновод. — 1998. — 27 нояб. — С. 2. — О Михаиле Петровиче Минине — участнике штурма Берлина."
,tt,"Щельябож климаты уртача-континенталь. Кыш озын, салкын, ә җәй кыска, гадәттә җылы, яисә салкынча. Биредә кырау җәен дә күзәтелә. Җәй көне циклоннар активлыгы сүлпәнәя, көзен исә киресенчә, үсә, шуңа күрә дә явым-төшем күләме арта. Көз белән яз салкын."
,tt,"444 (дүрт йөз кырык дүртенче) ел — кәбисә ел, юлиан тәкъвим буенча шимбә көнне башлана. Бу безнең эраның 444 елы, I меңьеллыкның 444 елы, V гасырның 44 елы, V гасырның 5 унъеллыгының 4 елы, 440 елларның 5 елы. 444 елдан бирле 1574 ел үтте."
,ca,"Els talpurs fou una dinastia que va governar al Sind del 1783 al 1843 i només a Khairpur sota protectorat britànic entre 1843 i 1947, i dins del Pakistan fins al 1955."
,tt,"Windows — Microsoft ширкәте тарафынннан ясалучы, җитештерелүче һәм сатылучы график операцион системалар метагаиләсе. Үз эченә берничә, һәрберсе санак индустрисенең билгеле бер секторын канәгатьләндерүче, операцион системалар гаиләсен ала."
,av,"Use the talk pages on meta, talk to your local communities, talk to others, talk to us. Engagement is what we strive for, without each other we would never had made Wikimedia succeed. The staff working on this fundraiser is comprised of long-time Wikimedians with as much care and concern for the success of this drive as the volunteers, and we want you to actively participate and have a voice. Everyone is welcome to contact any of us on staff at any time with a timely response to follow. I look forward to working with you during this year's fundraiser."
,nn,"VH1 Rock med Queen + Paul Rodgers spelte Under Pressure i lag med «The Show Must Go On», «We Will Rock You» og «We Are The Champions» under ei direktesending."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Двина-Печора бассейн округында урнашкан. Кече елга бассейны — Вычегда, елга бассейны — Төньяк Двина."
,it,"Il 9 luglio affrontò Travis Browne all'evento UFC 200. Dopo alcuni scambi in piedi, Velasquez riuscì a portare il suo avversario al tappeto e da tale posizione pose fine all'incontro con il ground and pound, vincendo per KO tecnico a soli 3 secondi dalla fine del primo round. Con questa vittoria ottenne il premio Performance of the Night."
,es,"Moyle, P. y J. Cech.: Fishes: An Introduction to Ichthyology, 4a. edición, Upper Saddle River, Nueva Jersey, Estados Unidos: Prentice-Hall. Año 2000."
,vo,"Introduction to the Theory of Groups of finite order (Nüdug lü Teor Grupas Leoda Finik), Boston/New York: Ginn & company, pads 447, 1937; pädönupüböl fa Dover Publications, Inc., New York, 1956."
,tt,"Константин Котелов (Константин Иван улы Котелов, 1 август 1863, Казан, Казан өязе, Казан губернасы, Русия империясе — 1919, Днипро, Екатеринослав губернасы, Украин Совет Социалистик Җөмһүрияте) — РФ физигы, метеоролог, педагог, Екатеринослав тау укуханәсе профессоры."
,de,"Allendorf grenzt im Norden an die Gemeinde Ebsdorfergrund (Landkreis Marburg-Biedenkopf), im Osten an die Gemeinde Rabenau, im Süden an die Gemeinde Buseck, sowie im Westen an die Stadt Staufenberg (alle drei im Landkreis Gießen)."
,ne,"हे राजन, ठूला धनुर्धारी—काशीराज, महारथी—शिखण्डी, (सेनापति) धृष्टद्युम्न, राजा– विराट्, अजेय—सात्यकि, राजा—द्रुपद्, द्रौपदीका पा“च पुत्र, तथा वीर अभिमन्यु यी सबैले आआफ्ना शंख बजाए ।"
,la,"Mila Kunis (Милена Маркοвна Кунис, Мілена Марківна Куніс; nata familia oriunda e Ucraina die 14 Augusti 1983 Urbe Novo Eboraco) est actrix Americana."
,fr,"Jean Royer (réal.) et Jacques Bloch-Morange (itw), « Albert Ducrocq : la cybernétique », 1re partie, La page des sciences, Radiodiffusion-télévision française, 14 décembre 1961, 10 minutes 27 secondes [en linha]."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Иртеш су бассейны округында урнашкан, су хуҗалыгы участогы — Конда елгасы. Кече елга бассейны — Конда, елга бассейны — Иртеш."
,so,"pra- - “antaŭ tre longa tempo, primitiva”; origino de la mondo -(asal, bilaw)(da, weynann); tempo → pratempo = la komenca tempo de la homaro aŭ de la mondo; (avino - ayeeyo; mocooyo; avo - awow); da': (patro); gabow: (avo); kabax: praavo, praavino"
,de,"Winfried Wehle: Rückkehr nach Eden. Über Dantes Wissenschaft vom Glück in der ‹Commedia›. En: Deutsches Dante-Jahrbuch, tom 78, 2003, p. 13–66, (online (PDF; 306 KB))."
,tt,"Өченчедән, бер үк вакытта текст, графика, табыннан һәм башкалардан торган документ төзү мөмкинлеге бар. Бу кушымталар арасында бирелмәләр алмашу ярдәмендә мөмкин була."
,it,"Fa parte dell'Associazione Sentinella dei Fiumi e dell'Unione Comunale Dall'Adige al Fratta. L'unione è composta da cinque comuni: Bevilacqua, Bonavigo, Boschi Sant'Anna, Minerbe e Terrazzo."
,ms,"Kajian arkeologi menunjukkan bahawa Jepun telah diduduki oleh manusia purba setidaknya 50,000 tahun yang lalu, pada zaman Paleolitik Akhir. Setelah melalui beberapa zaman air batu jutaan tahun lalu, Jepun beberapa kali terhubung dengan daratan Asia melalui jambatan darat (dengan Sakhalin di utara, dan mungkin sekali Kyushu di selatan), sehingga memungkinkan perpindahan manusia, haiwan, dan tumbuh-tumbuhan ke kepulauan Jepun dari kawasan yang kini merupakan wilayah Republik Rakyat China dan Korea. Zaman Paleolitik Jepun menghasilkan alat-alatan buatan batu-batan tergilap yang pertama di dunia, sekitar tahun 30000 SM."
,ms,"Pokok Keladi Sebaring ialah sejenis pokok herba yang amat besar, dengan batang pokok yang tebal dan tegak sehingga 1 meter (3 kaki) tingginya, ketika amat tua. Ciri-ciri fizikalnya yang lain adalah seperti berikut:"
,bn,"ব্লো-ব্জাং-ন্যি-মা (তিব্বতি: བློ་བཟང་ཉི་མ, ওয়াইলি: blo bzang nyi ma) (১৪৩৯-১৪৯২) তিব্বতী বৌদ্ধধর্মের দ্গে-লুগ্স ধর্মসম্প্রদায়ের দ্গা'-ল্দান বৌদ্ধবিহারের নবম দ্গা'-ল্দান-খ্রি-পা বা প্রধান ছিলেন।"
,tt,"Климаты уртача континенталь. Биредә һава торышы бик үзгәрүчән, моның төп сәбәбе булып Урал таулары тора. Монда алар биек булмаса да, Русиянең Аурупа өлешеннән килгән һава массаларын кертми, шуңа да монда салкын Арктика һавасы да, кызу Урта Азия һава массалары да җиңел үтә. Боларның нәтиҗәсе булып, биредә һава торышының кинәт үзгәреше еш күзәтелә."
,tt,"Биредә климат уртача-континенталь. Төньяк Боз океаны якын булганлыктан һәм төньяктан исүче җилләрне тоткарлаучы таулар булмаганга, кыш озын һәм суык булып тора, шулай ук җәй көне дә нык суыта, кырау еш төшә ала."
,sv,"Kivan är en sjö i Sundsvalls kommun i Medelpad och ingår i Ljungans huvudavrinningsområde. Sjön har en area på 0,505 kvadratkilometer och ligger 34,5 meter över havet."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Югары Идел бассейн округында урнашкан. Кече елга бассейны — Идел кушылдыклары бассейны Рыбинск сусаклагычыннан түбәнгә таба Ука кушылганчы, елга бассейны — (Югары) Идел Куйбышев сусаклагычына кадәр (Ука бассейныннан тыш)."
,nl,"Edwin ''''Ed'''' S. Friendly Jr. (New York City, 8 april 1922 - Rancho Santa Fe (Californië), 17 juni 2007) was een Amerikaanse televisieproducent."
,tt,"Кузьма Садыйков (псевдонимы Кузьма Пайраш, тулы исеме Кузьма Илья улы Садыйков, чуаш. Куçма Пайраш, Кузьма Ильич Садиков) — табиб (хирург), язучы (прозаик, драматург), ССРБ язучылар берлеге әгъзасы (1938). 1941-1945 еллардагы Бөек Ватан сугышында катнашкан. Чуаш АССР атказанган табибы (1964)."
,de,"Alt Günding, Bergkirchen, Bergkirchen-Lus, Bibereck, Breitenau, Deutenhausen, Eisolzried, Eschenried, Facha, Feldgeding, Gröbenried, Heißhof, Hopfenau, Kienaden, Kreuzholzhausen, Lauterbach, Neu Günding, Neuhimmelreich, Oberbachern, Palsweis, Palsweis-Moos, Priel, Rennhof, Ried, Rodelzried und Unterbachern."
,tg,"Ходжиматов М., Наврузшоева Г. Всхожесть семян и развитие проростков Heracleum lehmannianum Bunge в естественных условиях//Известия АН РТ. Отд. биол. и мед. наук. 2008, №3 (164);"
,de,"Erster Wurf über 30 Meter: 30,225 m, Lucienne Velu (FRA), 14. September 1924 (ein früherer 30-Meter-Wurf von 1924 wurde nicht als Weltrekord anerkannt)"
,ru,"Серман И. З. Неизданный конспект М. В. Ломоносова «Трактата о возвышенном» Псевдо-Лонгина в переводе Н. Буало // XVIII век. — СПб., 2002. — Сб. 22 . — С. 333—346."
,it,"Il 2004 è l'anno della prima sfida tra le belghe Justine Henin e Kim Clijsters. Avrà la meglio Justine Henin, alla prima e unica vittoria in Australia. Nel 2006 e nel 2008 vincono rispettivamente Amélie Mauresmo e Marija Šarapova: la francese approfitta del ritiro della Henin, mentre la russa vince contro la Ivanovic."
,es,"Rodica Mateescu (Bucarest, Rumania, 13 de marzo de 1971) es una atleta rumana, especializada en la prueba de triple salto en la que llegó a ser subcampeona mundial en 1997.[1]​"
,av,"В первой половине XVI века уроженец Полоцка, доктор медицины Франциск Скорина переводит все книги Ветхого Завета на современный ему западнорусский язык. Перевод, сделанный им с латинской Библии Иеронима (Вульгата), был напечатан в 1517—1525 годах в Праге и Вильне."
,tt,"Татар халкының милли традицияләргә бай ашлар әзерләү осталыгы бик күптәннән килә. Күп гасырларга сузылган тарих дәвамында милли оригиналь ашлар барлыкка килгән, алар үзләренә генә хас сыйфатларны әлегә кадәр саклаганнар. Аларның үзенчәлеге халык тормышының иҗтимагый, икътисадый, табигый шартларына, аның этник тарихына бәйле."
,fr,"Frédéric Monnier, Lettres à son avocat. 118 lettres inédites à Me Albert Naud, notice biographique de Me Naud sur le site louisferdinandceline.free.fr"
,de,"Sokołówka liegt in den nördlichen Ausläufern des Habelschwerdter Gebirge an einer Nebenstraße, die von der Wojewodschaftsstraße 388 bei Nowy Wielisław abzweigt und nach Pokrzywno führt. Nachbarorte sind Nowy Wielisław im Nordosten, Starkówek im Südosten und Pokrzywno im Süden. Südwestlich erhebt sich der 704 m hohe Steinberg (Kamienna)."
,mn,"Саха ястны төрөлх хэлийг Саха хэл (сахагаар саха тыла, оросоор Якутский язык, англиар Sakha/Yakut language, буриад кирилээр яхад хэлэн) гэнэ."
,kk,"3 кітаптың («Трудовое право и хозяйственный механизм», 1990; «Проблемы трудового права в современных условиях», 1994; «Механизм правового регулирования труда в условиях рынка», 1996) авторы."
,ba,"«Загадки Майя» (ингл. «Mystery of The Maya») — документальный фильм Барри Ховелла (ингл. Barrie Howells) и Роберто Рочина (ингл. Roberto Rochin), 1998 г."
,oc,"Els productes característics cobreixen tota la gamma de la mobleria fina com són les calaixeres, prestatges, passamans d'escales, biblioteques i altres."
,co,"Ogni puligunu hà un perimetru è un'aria, ciascunu di i so lati una lunghezza, è dui lati aghjacenti ditarmineghjani un angulu. Tutti sti grandezzi sò strittamenti currilati. Sò dunqua utuli quiddi formuli chì parmettini di ditarminà u perimetru o l'aria di u puligunu à parta da l'altri grandezzi."
,tt,"Сейсмик дулкыннарның барлык төрләрен сизеп алыр һәм билгеләр өчен махсус әсбаблар – сейсмографлар кулланыла. Күпчелек очракта сейсмограф сиртмәгә эленгән йөктән гыйбарәт була. Җир тетрәгәндә йөк үз урынында кала, әсбабның калган өлеше исә хәрәкәткә килә һәм җир тетрәү кәгазьдә теркәлә. Шулай ук электрон сейсмографлар да бар (алар кәгазьсез була)."
,tt,"Әл-Мөкътәдир зәгыйфь хаким булган, күбесенчә күңел ачу мәҗлесендә катнашкан. Идарә иткән чорда хәлифәт түбән төшә, 25 ел дәвамында 13 вәзир алыштырыла, дәүләт Төньяк Африка, Мисыр һәм Мосул ны югалта."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Югары Об су бассейны округында урнашкан, су хуҗалыгы участогы — Чулым елгасы, Зырянское авылындагы су үлчәү постына чаклы. Кече елга бассейны — Об Иртеш кушылганга чаклы, елга бассейны — Об (өске өлеше) Иртеш кушылганга чаклы."
,io,"Utah Saints riuzis (''''sampled'''') la lineo ''''I just know that something good is going to happen'''' por lia kansono ''''Something Good'''' (1992), ultre ceni de la video por lia video. Ol atingis no. 4 en Britania e no. 8 kande ri-editita en 2008."
,es,"Es característica su iglesia parroquial dedicada a San Pedro con un retablo barroco del siglo XVIII. Próxima a la Plaza Mayor, ''''Casa El Palaciano'''' fue escenario de algunas escenas de la película Tasio (1984) de Montxo Armendáriz."
,co,"Opera di u Vocabolariu Italianu: pubblica in rete u Tesoru di a Lingua Italiana di e urighjni (TLIO), chì hè a parte antica di u vocabolariu storicu italianu (oghje u TLIO hè cunsultabile in un prupriu situ)."
,es,"En caso de guerra, el rey convocaba a los caballeros y les pedía ayuda militar. Los caballeros y sus vasallos acudían con sus tropas y formaban una mesnada. Una reunión de mesnadas conformaban una hueste."
,tt,"Гөлчатай (лат. Gulchatay) — Венера планетасының 20°30′ к. к. 295°30′ кб. о. координаталары буенча урнашкан, диаметры якынча 9 километр озынлыкта булган кратеры."
,tt,"Мифтахетдин Шәймөхәммәтев (Мифтахетдин Бәдретдин улы Шәймөхәммәтев, 27 август 1911, Нимесләр, Уфа өязе, Уфа губернасы, Русия империясе — 14 сентябрь 1979, Уфа, Башкорт Автономияле Совет Социалистик Җөмһүрияте, РСФСҖ, Совет Социалистик Җөмһүриятләр Берлеге) — Социалистик Хезмәт Каһарманы (1959)."
,tt,"Биредә климат уртача-континенталь. Төньяк Боз океаны якын булганлыктан һәм төньяктан исүче җилләрне тоткарлаучы таулар булмаганга, кыш озын һәм суык булып тора, шулай ук җәй көне дә нык суыта, кырау еш төшә ала."
,tt,"Хмели — Русия территориясеннән ага торган елга. Пермь крае , Свердловск өлкәсе биләмәләрендә ага. Елганың тамагы Вильва елгасының уң ярыннан 159 км ераклыкта урнашкан. Елга озынлыгы 11 км."
,es,"El 20 de diciembre de 1827 se incicia el movimiento por la separación de Navotas y Bangkulasi, que eran entonces parte de Tambobong. Los representantes de ambas localidades solicitaron al gobierno español la separación de sus barrios para formar un nuevo municipio, objetivo que consiguieron el 6 de febrero de 1859. Cavada se convirtió en un municipio independiente.[3]​"
,sa,"हम्पी (विजयविठ्ठलमन्दिरं , विजयनगरसाम्राज्यस्य अवशेषानि), होसपेटे तुङ्गभद्राजलबन्धः, बोम्मनघट्टस्य श्रीहुलिकुण्टेरायमन्दिरं च प्रमुखानि भवन्ति ।"
,de,"Pax, Ferdinand Albin & Hoffmann, Käthe (1924): Euphorbiaceae-Crotonoideae-Acalypheae-Acalyphinae. In: Engler, Adolf: Das Pflanzenreich Series IV '147.XVI (85): 1-231."
,tt,"Беренче китабы – «Бәла» (1993). «Таня-Таңсылу» (1996) романы нигезендә милли нигезләреннән ерагайган кеше трагедиясе ята. «Мәхәббәт дошманнары» (2001), «Озынтал» (2004) китаплары чыкты. «Әлфира» (язучының хатыны исеме белән аталган) (2004), «Агай-энеләр» (2005), «Варис» (2006), «Беләзекүл» романнары авторы."
,it,"La metropolitana funziona 24 ore su 24, e le linee sono contraddistinte da lettere o numeri. Ad ogni fermata si possono trovare gratuitamente le cartine, che sono sorprendentemente di facile lettura, grazie ai colori con cui vengono differenziate tutte le linee. Le fermate locali vengono indicate con un cerchio nero, le fermate express con un cerchio bianco."
,it,"l'MTA (Metropolitan Transportation Authority), che fa capo principalmente alla città di New York e gestisce la metropolitana, la (Staten Island Railway) (anch'essa attiva 24 ore al giorno, 7 giorni alla settimana), gli autobus urbani e i treni verso Long Island (Long Island Rail Road) e verso Nord (Metro-North Railroad);"
,sr,"Komisija za očuvanje nacionalnih spomenika Bosne i Hercegovine, 2006. godine donela je odluku kojom se Sarajevska sahat-kula proglašava nacionalnim spomenikom Bosne i Hercegovine."
,tt,"Аниме (яп. アニメ, ингл. animation — анимация) - япон анимациясе. Башка илләр чыгарган анимациядән аермасы - олы аудитория өчен эшләве, шуңа да зур популярлык казанган. Аниме башка мультфильмлардан фон һәм персонажларны ясау стиле белән бик аерыла. Серияләр телефильм һәм телесериал рәвешендә эшләнелә."
,fr,"Henri Jaccard, Essai de toponymie: origine des noms de lieux habités et des lieux dits de la Suisse romande, G. Bridel & cie, 1906, 558 pages, p. 64. (Francogallice)"
,gn,"Ary 2009 jave, Centro de Liderazgo Estratégico del Paraguay (CLEP), ombojopói Kike Pedersen-pe ome´ẽvo chupe Premio a la Creatividad y la Competitividad."
,tr,"Hercules and Love Affair, New York merkezli DJ Andy Butler'ın müzikal bir projesi. Butler, Kim Ann Foxman, Mark Pistel, Aérea Negrot, Shaun Wright ve Nellyphant üyelerindendir."
,be,"Гидрологический заказник республиканского значения «Ельня» // Очарование Миорского края = Charm of Myory Region / сост. В. А. Ермаленок, П. И. Боголей; фото О. В. Молодечкин — Новополоцк, 2007. — 50 с."
,lo,"Live Walk By Dan'''' เป็นผลงานการเขียนหนังสือครั้งแรกของแดน ที่บอกเล่าเรื่องราวการเดินทางและการใช้ชีวิตในเมืองเซี่ยงไฮ้ ประเทศจีน ในช่วงสั้นๆ โดยถ่ายทอดมุมมองความคิดผ่านตัวหนังสือและภาพถ่าย ในลักษณะของบันทึกการเดินทาง"
,tt,"Алекса́ндр Григо́рий улы Лукаше́нко (рус. Алекса́ндр Григо́рьевич Лукаше́нко, белар. Аляксандр Рыгоравіч Лукашэнка) — беларус дәүләт һәм сәясәт эшлеклесе, Беларусь Республикасының беренче һәм бердәнбер президенты (1994 елда хәзрге вакытына кадәр)."
,tt,"Linux — Unix операцион системалар гаиләсенә керә торган һәм нигезендә Linux төше (Linux kernel) булган операцион система. Хәзерге вакытта Linux ачык кодлы (open source) программаларның иң күренекле мисалларыннан берсе булып санала; барлык язылган код һәрбер кеше тарафыннан үзгәртелергә, кулланылырга һәм таратылырга мөмкин."
,so,"pro - sababtoo ah, waayo, maxaa yeelay (prepozicio) Ŝiaj dentoj frapadis pro malvarmo. (dento - ilig)dentisto - dhakhtarilko)(dentbroso - caday, buruushilko)"
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Двина-Печора су бассейны округында урнашкан, су хуҗалыгы участогы — Көньяк елгасы. Кече елга бассейны — Сухона, елга бассейны — Төньяк Двина."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Чулман су бассейны округында урнашкан, су хуҗалыгы участогы — Чусовая, Кын авылы янындагы су үлсәү посынан тамагына чаклы. Кече елга бассейны — Чулман кушылдыклары бассейннары, Агыйдел кушылганга чаклы, елга бассейны — Чулман."
,de,"Nachdem er 2004 Vizemeister geworden war und auch einige Spiele in der Nationalauswahl bestritten hatte, entschloss er sich zu einem Wechsel ins Ausland."
,co,"Ustica è Pantillaria, in u mar' Tirrenu è in u canali di Sicilia, formani dui cumuni distinti di i pruvinci di Palermu è Trapani. I centri storichi di Siracusa è Augusta, in u siracusanu, sò situati annantu à dui isuli culligati à a terraferma."
,ca,"Harrison, I.J., 1995. Mugilidae. Lisas. p. 1293-1298. A: W. Fischer, F. Krupp, W. Schneider, C. Sommer, K.E. Carpenter i V. Niem (eds.). Guía FAO para Identificación de Especies para los Fines de la Pesca. Pacífico Centro-Oriental. 3 Vols. FAO, Roma, Itàlia."
,tt,"Дмитри Мейснер (Дмитри Иван улы Мейснер, 14 июль 1899, Казан, Казан өязе, Казан губернасы, Русия империясе — 21 гыйнвар 1980, Праһа, Чехословакия) — сәясәт һәм җәмәгать эшлеклесе, журналист, мемуарчы, Конституцион-демократик фриканең актив әгъзасы."
,ms,"Gomer adalah anak pertama Yafet seperti yang disebutkan dalam Kitab Kejadian dalam Kitab Suci Ibrani. Setelah insiden Menara Babel, Gomer dan keluarganya bermigrasi ke utara dari Shinar melintasi Gunung Urartu dan menetap di sekitar pergunungan Kaukasus antara Laut Hitam dan Laut Kaspia."
