,ar,"هاذا مش منطقي، و موش عادل زادا"
,bs,"Kanal distrikt (nizozemski: Grachtengordel) je poznati distrikt iz 17. stoljeća koji okružuje naselje Binnenstad u Amsterdamu."
,bs,"CIjeli distrikt nalazi se na UNESCO-ovom popisu svjetske baštine zbog jedinstvene kulturne i historijske vrijednosti, a vrijednosti nekretnina su među najvišim u državi."
,bs,"Ljeti posebno se trebate paziti komaraca ako se odlučite na šetnju kroz prašumu."
,bs,"Za Norvešku su tipični fjordovi i doline koje iznenada ustupaju mjesto visokim, manje ili više ravničarskim visoravnima."
,bs,"Premda se čini da je jedna eksperimentalna vakcina u stanju smanjiti smrtnost od ebole, do sada nije jasno dokazano da je ijedan lijek pogodan za liječenje ove infekcije."
,bs,"U izjavi dostavljenoj kasno u nedjelju putem glasnogovornika, predsjednik Sjedinjenih Država Donald Trump najavio je da će trupe SAD-a napustiti Siriju."
,bs,". Naučnici kažu da je perje ove životinje bilo kestenasto-smeđe na vrhu, s blijedom ili žuto-narandžasto-crvenom donjom stranom."
,bs,"Budući da perje dinosaura nema dobro razvijen stručak, zvanu rahis, ali ima druge karakteristike perja - bodlje i sićušne bodlje - istraživači su zaključili da je rahis vjerojatno dio kasnijeg evolucijski razvoj u odnosu na ostale karakteristike."
,bs,"Istraživanja su pokazala da, čak iako je ovo rep mladog dinosaura, uzorak pokazuje odraslo perje a ne perje pilića."
,bs,"Automobilska bomba koja je detonirana jučer u sjedištu policije u Gaziantepu u Turskoj ubila je dvojicu policajaca i ranila preko dvadeset drugih ljudi."
,bs,"Što je manji Rozbijev broj, zvijezda je manje aktivna s obzirom na inverzije magnetskog polja."
,bs,"Zahvaljujući ovome može biti povratno kompatibilan s 802.11a, 802.11b i 802.11g, pod uvjetom da bazna stanica ima dvojne radije."
,bs,"U Rimu je na različitim mjestima postavljeno nekoliko velikih televizijskih ekrana kako bi narod gledao ceremoniju."
,bs,"U mnogim drugim gradovima Italije i u ostatku svijeta, prije svega u Poljskoj, izrađene su slične postavke koje je vidjelo mnogo ljudi."
,bs,"Igrači iz srednjeg veza, Sachin Tendulkar i Rahul Dravid, odlično su se snašli i zajedno postigli potpuni uspjeh."
,bs,"Dočekao ga je zamjenik premijera Singapura Wong Kan Seng, a s premijerom Singapura Lee Hsien Loongom je razgovarao o pitanjima trgovine i terorizma."
,bs,"Američki inženjerski vojni korpus procijenio je da 6 inča padavina može probiti ranije oštećene brane."
,bs,"Obavljeni posao uglavnom je bio teoretske prirode, ali program je napisan tako da oponaša promatranja galaksije Strijelca."
,bs,"Televizijske reportaže prikazuju bijeli dim koji dolazi iz fabrike."
,bs,"Dr. Moll misli da su se neki pacijenti možda zarazili bubom u bolnici, a bar dvojica su bili bolnički zdravstveni radnici."
,bs,"Sateliti, od kojih svaki teži više od 1.000 funti i putuje prosječnom brzinom od 17.500 milja na sat, sudarili su se na udaljenosti od 491 milje iznad Zemlje."
,bs,"Rezultat analize zapleta će bit objavljen na javnoj web stranici."
,bs,"Dr Malar Balasubramanian, 29, pronađen je u mjestu Blue Ash u Ohiu, predgrađu otprilike 15 milja sjeverno od Cincinnatija, kako leži na tlu pored puta u majici i vešu, očigledno pod snažnim utjecajem lijekova."
,bs,"Tamo su pronašli tijelo Saroja Balasubramanijana (53) prekriveno krvlju natopljenim prekrivačima."
,bs,"Policija je rekla da se čini kao da je tijelo tamo bilo otprilike jedan dan."
,bs,"UN se nada i da će uspostaviti fond za pomoć zemljama pogođenim globalnim zagrijavanjem kako bi se izborile s posljedicama."
,bs,"Ubrzo su policajci opremljeni oružjem za izgrede ušli u dvorište i stavili pod kontrolu zatvorenike pomoću suzavca."
,bs,"Vatrogasni spasilački timovi na kraju su potisnuli požar do 11:35 uvečer."
,bs,"Iako je Winfrey bila u suzama prilikom svog oproštaja, svojim je obožavateljima jasno stavila do znanja da će se vratiti."
,bs,"Napori vezani za traženje mjesta pada otežani su lošim vremenom i nepristupačnim terenom."
,bs,"Glasanje u Francuskoj provodi se bez tehnologije. Glasači se izoliraju u kabini i u kovertu stavljaju unaprijed odštampani list papira na kojem označavaju kandidata za kojeg glasaju."
,bs,"Internetska stranica postaje opisuje emisiju kao „radio pozorište stare škole s novim i nevjerojatno neobičnim zapletom!“"
,bs,"Za Springboks to je bio kraj niza od pet poraza."
,bs,"Umjereni zemljotres potresao je zapadnu Montanu u ponedjeljak u 22:08 sati."
,bs,"Epicentar zemljotresa bio je udaljen oko 20 km (15 milja) sjeverno-sjeveroistočno od Dillona i oko 65 km (40 milja) južno od Butta."
,bs,"Sumnjivi slučajevi H5N1 u Hrvatskoj i Danskoj i dalje su nepotvrđeni."
,bs,"Bivši predsjednik skupštine Newt Gingrich, guverner Teksasa Rick Perry i članica kongresa Michele Bachmann završili su na četvrtom, petom i šestom mjestu."
,bs,"Bachmann, koja je u avgustu pobijedila na Amesovoj neformalnoj anketi, odlučila je okončati kampanju."
,bs,"Arly Velasquez iz Meksika osvojio je petnaesto mjesto u muškoj utrci super-veleslaloma za paraolimpijce. Novozelanđanin Adam Hall završio je na devetom mjestu u muškoj utrci super-veleslaloma za olimpijce."
,bs,"Slabovidni skijaš Maciej Krezel iz Poljske i njegov i vodič Anna Ogarzynska završili su na trinaestom mjestu u kategoriji super-veleslaloma. Južnokoreanac Jong Seork Park završio je na dvadeset četvrtom mjestu u utrci super-veleslaloma za paraolimpijce."
,bs,"U istom mjesecu još jedan avion je izletio s piste u Mashhadu i udario u zid, pri čemu je poginulo sedamnaest osoba."
,bs,"Del Potro je imao ranu prednost u drugom setu ali je svejedno došlo do taj brejka nakon što je rezultat bio 6:6."
,bs,"Pjevač Sanju Sharma započeo je veče, a uslijedio je Jiai Shankar Choudhary. Predstavio je i chhappan bhog bhajan. U njegovoj pratnji bio je pjevač Raju Khandelwal."
,bs,"Zatim, Lakkha Singh je preuzeo glavnu ulogu u pjevanju badžana."
,bs,"U Baba Shyamu je posluženo 108 tanjira Chapan Bhoga (u hinduizmu, 56 različitih jestivih proizvoda, kao što su slatkiši, voće, orašasti plodovi, jela, itd. koji se nude božanstvima)."
,bs,"Lakkha Singh predstavio je i chhappan bhog bhajan. Pratio ga je pjevač Raju Khandelwal."
,bs,"Giancarlo Fisichella je izgubio kontrolu nad svojim bolidom i trku je završio vrlo brzo nakon starta."
,bs,"Njegov timski kolega Fernando Alonso bio je u vodstvu većinu utrke, ali je završio odmah nakon zaustavljanja u pit-stopu, vjerojatno zbog loše postavljenog prednjeg točka."
,bs,"Bomba je eksplodirala ispred ureda generalnog guvernera."
,bs,"To mi se činilo besmisleno; a sigurno nije bilo pošteno."
,bs,"Guverner Kalifornije, Arnold Schwarzenegger, potpisao je zakon kojim se maloljetnicima zabranjuje prodaja ili iznajmljivanje nasilnih video igara."
,bs,"U svojoj drugoj utrci, veleslalomu, zauzela je deseto mjesto u ženskoj grupi s kombiniranim vremenom utrke 4:41.30, 2:11.60 minuta sporije od prvoplasirane Austrijanke Claudije Loesch i 1:09.02 minuta sporije od Mađarice Gyöngyi Dani koja je završila na devetom mjestu."
,bs,"Četiri skijašice u ženskoj paraolimpijskoj kategoriji nije uspjelo završiti vožnju, a 45 od ukupno 117 skijaša na veleslalomu nije uspjelo završiti utrku."
,bs,"Policija iz regije Madhya Pradesh pronašla je i vratila ukradeni laptop i mobitel."
,bs,"Optuženi se zovu Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar i Vishnu Kanjar."
,bs,"Policijski inspektor Chandra Shekhar Solanki izjavio je da su se optuženi pojavili na sudu pokrivenih lica."
,bs,"Put na kojem je došlo do sudara privremeno je bio zatvoren dok su hitne službe izvlačile vozača iz crvenog Audija TT."
,bs,"Naknadno je prebačen u bolnicu Addenbrooke’s u Cambridgeu."
,bs,"Prema Micku O'Flynnu, vršiocu dužnosti direktora za očuvanje i nasljeđe parka u sklopu NPWS-a, četiri strijelaca odabrana za prvu operaciju pucanja dobili su detaljne upute o sigurnosti i obuku."
,bs,"Jučer u novom Privremenom izbornom vijeću (CEP) devet članova položilo je zakletvu pred Martellyjem."
,bs,"Japansko ministarstvo ekonomije, trgovine i industrije (METI) izvijestilo je je imalo informacije o 27 nesreća povezanih s tim uređajima."
,bs,"Fotografi su kasnije zauzeli mjesto starije dame kad joj je zatrebao zahod. Mendoza je upucan."
,bs,"Slijedeći očeve korake, Liggins je započeo medicinsku karijeru."
,bs,"Dok je radio u bolnici Liggins, u slobodno vrijeme je istraživao prijevremeni porod."
,bs,"Kolege hrvači su također odali počast Luni."
,bs,"Nije mogao uzimati lijekove potrebne za ublažavanje bolova jer su ti lijekovi zabranjeni na Igrama."
,bs,"Neće se uključiti nikakav dodatni prijevoz i nadzemni vozovi se neće zaustaviti na Wembleyu, a parkinzi za automobile i parkinzi za presjedanje na autobus nisu dostupni u blizini stadiona."
,bs,"Studija objavljena u četvrtak u časopisu Nauka iznijela je tvrdnje o formiranju nove vrste ptica na ostrvima Galapagos Ekvadoru."
,bs,"Može se izvući u tanku žicu koja se može uviti i uplesti. Može se čekićati ili valjati u listove."
,bs,"To se naziva pH-vrijednost hemijske supstance. Indikator možete napraviti korištenjem soka crvenog kupusa."
,bs,"Pomiješajte dva suha praha, a zatim čistim mokrim rukama od njih napravite kuglu."
,bs,"Satelit je poslan u svemir raketom. Naučnici u svemiru koriste teleskope jer Zemljina atmosfera iskrivljuje dio naše svjetlosti i pogleda."
,bs,"Donio nam je voz, automobil i mnoge druge uređaje za prijevoz."
,bs,"Čopor čine jedan do tri odrasla mužjaka koji su u rodu te čak trideset ženki i mladunaca."
,bs,"Čopori lavova djeluju slično poput čopora vukova ili pasa, životinja koje su ponašanjem iznenađujuće slične lavovima (ali ne i drugim velikim mačkama), a takođe vrlo smrtonosne po svoj plijen."
,bs,"Tigar, poput pravog sportiste višebojca, može se penjati (iako ne dobro), plivati, preskakati velike udaljenosti i vući pet puta većom snagom od snažnog čovjeka."
,bs,"Rika tigra nije poput punoglasne rike lava, već više kao rečenica ljutito viknutih riječi."
,bs,"Oni vrlo dobro vide u mraku zbog noćnog vida, a kreću se i vrlo tiho. Oceloti love plijen tako što se uklapaju s okolinom, a zatim skaču na plijen."
,bs,"Prvobitna populacija se uopće nije promijenila, i dalje im trebaju prilagodbe kao i ranije."
,bs,"Od biljaka gradimo kuće i pravimo odjeću. Većina namirnica koje jedemo su biljke. Bez biljaka životinje ne bi mogle preživjeti."
,bs,"Napadao je i sve što bi ušlo u vodu. Čak ni džinovski dinosaur kao što je T. reks nije mu bio dorastao."
,bs,"Ljudi bi prinosili žrtve bogovima, a svećenici bi pokušavali udovoljiti potrebama bogova kroz ceremonije i festivale."
,bs,"Svaki hram imao je otvoreno dvorište i unutrašnje svetište kojem su mogli pristupiti samo svećenici."
,bs,"Ponekad su građene posebne kule u obliku piramida, koje se nazivaju zigurati, kako bi bile dio hramova."
,bs,"Dakle, moguće je da je bilješka dodana jednostavno kao oznaka."
,bs,"Riječ civilizacija potječe od latinske riječi civilis, koja znači građanski i odnosi se na latinsku riječ civis, koja znači građanin i civitas, koja znači grad ili grad-država i što na neki način definira i veličinu društva."
,bs,"Gradovi-države preteča su nacija. Civilizacijska kultura podrazumijeva prenošenje znanja kroz nekoliko generacija, dugotrajan kulturni trag i pravedno širenje."
,bs,"Također nije imao ovlaštenja za poništavanje poreskih zakona i tarifa između država."
,bs,"Japan se sastoji od skoro 7.000 otoka (najveći je Honshu), što Japan čini 7. najvećim otokom na svijetu!"
,bs,"Većina zgrada na rubovima kompleksa su obnovljene kako bi turisti imali bolji uvid u to kako su prvobitno izgledale."
,bs,"Stoga, za razmjer proporcija ovog formata (podijeljen s dvanaest da bi se dobio najjednostavniji omjer cjelokupnog broja) kaže se da je 3:2."
,bs,"Navodi se da je najučinkovitije mjesto za glavnog subjekta na presjeku linija koje dijele sliku na trećine vertikalno i horizontalno (vidi primjer)."
,bs,"Njena dominantna snaga utjecala je na sve - od kralja do običnog čovjeka."
,bs,"S obzirom na ograničen odgovor na ovu taktiku, Njemačka je očekivala sličan odgovor na svoje neograničeno ratovanje ispod mora."
,bs,"Tri kraljevstva bila su jedan od najkrvavijih perioda u historiji drevne Kine. Hiljade ljudi poginulo je boreći se za najviše mjesto u velikoj palači u Xi’anu."
,bs,"Također, nakon što su zanimanja revolucije otvorena za sve muške podnositelje zahtjeva što je omogućilo najambicioznijim i uspješnima da uspiju."
,bs,"Pećina, koja se nalazi na vrhu jedne od planina sjeverno od Meke, potpuno je izolovana od ostatka svijeta."
,bs,"Oznaka „gudalo prema gore“ izgleda kao V, a „gudalo prema dole“ poput spojnice ili kvadrata na kojem nedostaje donja strana."
,bs,"Gudalo prema gore obično stvara mekši zvuk, dok je gudalo prema dole jači i deklarativniji."
,bs,"Prestrašenog kralj Luja XVI, kraljicu Mariju Antoanetu i njihovo dvoje male djece (11-godišnju Mariju Terezu i četverogodišnjeg Louis-Charlesa) i kraljevu sestru, Madam Elizabeth, rulja žena s pijace natjerala je da se vrate u Pariz iz Versaja 6. oktobra 1789. godine."
,bs,"Ratni troškovi američkog imperijalizma prilikom osvajanja Filipina platio je narod Filipina."
,bs,"Masovno vlasništvo automobila takođe dovodi do većeg broja nesreća na putevima, što vodi pronalasku novih tehnika u zdravstvu za popravljanje ozlijeđenih tijela."
,bs,"Gotički stil dostigao je vrhunac između 10. i 11. stoljeća i 14. stoljeća."
,bs,"Način odjevanja na početku bio pod snažnim utjecajem bizantijske kulture na istoku."
,bs,"Smatra se da su ostale odgojile životinje. Za neke se smatra da su samostalno živjeli u divljini."
,bs,"Virtuelne skele su ubačene u softvere i namijenjene su za ispitivanje, upućivanje i objašnjavanje postupaka koji bi mogli predstavljati izazov za studenta koji ih treba samostalno provoditi."
,bs,"Internet kombinira elemente i masovne i interpersonalne komunikacije."
,bs,"Istraživanjem iz dvadesetog stoljeća ukazalo se na činjenicu da postoje dvije vrste genetske varijacije: skrivena i izražena."
,bs,"Segregacija i rekombinacija miješaju varijacije između te dvije baze u svakoj generaciji."
,bs,"U kundalini jogi, kundalini energija (energija prosvetljenja) se budi kroz joga položaje, vježbe disanja, mantre i vizualizacije."
,bs,"Drevne kulture i plemena počeli su ih uzgajati zbog lakog pristupa mlijeku, dlaci, mesu, i koži."
,bs,"Drveni točkovi su na kraju zamijenjeni željeznim točkovima. Prve šine s punim željezom uvedene su 1767. godine."
,bs,"25 Dunlapovih postera za čije se postojanje zna su najstariji sačuvani primjerci tog dokumenta. Originalni rukom pisani primjerak nije sačuvan."
,bs,"Prihvaćeni su Aristotelovi stavovi o svim pitanjima nauke, uključujući i psihologiju."
,bs,"Samo mutacije zametnih ćelija mogu se prenijeti na djecu, a mutacije na drugom mjestu mogu uzrokovati smrt ćelija ili rak."
,bs,"To im pruža širi raspon malih mjesta za sakrivanje od grabljivica."
,bs,"Jedini insekti koji danas ne mogu presaviti krila unatrag su vilini konjici i vodencvjetovi."
,bs,"Zvuči razumno, jer mi ne osjećamo da se Zemlja kreće, zar ne?"
,bs,"Vatikan ima oko 800 stanovnika. To je najmanja nezavisna država na svijetu i država s najmanjim brojem stanovnika."
,bs,"Elementi poput kalcija i kalija smatraju se metalima. Naravno, postoje i metali kao što su srebro i zlato."
,bs,"Stoga, olovka je bila dobar prijatelj mnogima nakon što je izumljena."
,bs,"Površina Mjeseca sastoji se od stijena i prašine. Vanjski sloj Mjeseca naziva se kora."
,bs,"Tanji je pod morama, a deblji pod planinama."
,bs,"Virtuelni timovi poštuju iste standarde izvrsnosti kao i konvencionalni timovi, ni ipak postoje male razlike."
,bs,"Istraživanje u području umjetne inteligencije (AI) uključuje izradu mašina za automatiziranje zadataka koji zahtijevaju inteligentno ponašanje."
,bs,"Izleti su značajan dio svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mjesta do kojih putovanje autobusom nije opcija."
,bs,"Blogovi mogu također pomoći kod poboljšanja vještine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično mijenja."
,bs,"S obzirom na to da su učenici često publika s najviše kritika, pisac bloga počinje težiti poboljšanju pisanja kako bi izbjegao kritike."
,bs,"Grad Otava je šarmantan, bilingvalni glavni grad Kanade u kojem je smješteno mnoštvo umjetničkih galerija i muzeja koji prikazuju prošlost i sadašnjost Kanade."
,bs,"Velika područja dalje prema sjeveru prilično su rijetko naseljena, a neka predstavljaju gotovo nenaseljenu divljinu."
,bs,"Većina manjih otoka su nezavisne države ili su povezane s Francuskom te su poznate su kao luksuzna odmarališta s plažama."
,bs,"Žene: preporučuje se da sve žene putnice kažu da su udate, ne uzimajući u obzir stvarno bračno stanje."
,bs,"Budite odlučne u odbijanju muškaraca i nemojte se bojati da se držite svog stava (bez obzira na kulturološke razlike, to nije uredu!)."
